序号,一级分类,二级分类,标准号,标准名称,英文名称,标准类型,发布部门,发布日期,实施日期,标准状态,替代标准,被替代标准,文件路径,官方来源,备注
1,测绘地理信息,定义与描述/分幅编号,GB/T 13989-2012,国家基本比例尺地形图分幅和编号,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/定义与描述/分幅编号/GBT 13989-2012 国家基本比例尺地形图分幅和编号.pdf,,
2,测绘地理信息,定义与描述/术语,GB/T 14911-2008,测绘基本术语,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/定义与描述/术语/GBT 14911-2008 测绘基本术语.pdf,,
3,测绘地理信息,定义与描述/术语,GB/T 14950-2009,摄影测量与遥感术语,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/定义与描述/术语/GBT 14950-2009 摄影测量与遥感术语.pdf,,
4,测绘地理信息,定义与描述/术语,GB/T 16820-2009,地图学术语,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/定义与描述/术语/GBT 16820-2009 地图学术语.pdf,,
5,测绘地理信息,定义与描述/术语,GB/T 17159-2009,大地测量术语,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/定义与描述/术语/GBT 17159-2009 大地测量术语.pdf,,
6,测绘地理信息,获取与处理/大地测量,GB/T 12897-2006,国家一、二等水准测量规范,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/大地测量/GBT 12897-2006 国家一、二等水准测量规范.pdf,,
7,测绘地理信息,获取与处理/大地测量,GB/T 12898-2009,国家三、四等水准测量规范,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/大地测量/GBT 12898-2009 国家三、四等水准测量规范.pdf,,
8,测绘地理信息,获取与处理/大地测量,GB/T 18314-2024,全球导航卫星系统（GNSS）测量规范,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/大地测量/GBT 18314-2024 全球导航卫星系统（GNSS）测量规范.pdf,,
9,测绘地理信息,获取与处理/大地测量,CH/T 2009-2010,全球定位系统实时动态测量（RTK）技术规范,,测绘行业标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/大地测量/CHT 2009-2010 全球定位系统实时动态测量（RTK）技术规范.pdf,,
10,测绘地理信息,获取与处理/大地测量,CH/T 2014-2016,大地测量控制点坐标转换技术规范,,测绘行业标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/大地测量/CHT 2014-2016 大地测量控制点坐标转换技术规范.pdf,,
11,测绘地理信息,获取与处理/工程测量,GB/T 14912-2017,1_500 1_1 000 1_2 000外业数字测图规程,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/工程测量/GBT 14912-2017 1_500 1_1 000 1_2 000外业数字测图规程.pdf,,
12,测绘地理信息,获取与处理/工程测量,CJJ/T 8-2011,城市测量规范,,城建行业标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/工程测量/CJJT 8-2011 城市测量规范.pdf,,
13,测绘地理信息,获取与处理/地籍测绘,GB/T 17986.1-2000,房产测量规范 第1单元_房产测量规定,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/地籍测绘/GBT 17986.1-2000 房产测量规范 第1单元_房产测量规定.pdf,,
14,测绘地理信息,获取与处理/地图编制与印刷,GB 35650-2017,国家基本比例尺地图测绘基本技术规定,,国家标准,,,,,,,标准规范/CH2-00 测绘地理信息/获取与处理/地图编制与印刷/GB 35650-2017 国家基本比例尺地图测绘基本技术规定.pdf,,
15,测绘地理信息,检验与测试/成果与产品检验,GB/T 18316-2008,数字测绘成果质量检查与验收,,国家推荐性标准,,,,,,,标准规范/CH2-00 测绘地理信息/检验与测试/成果与产品检验/GBT 18316-2008 数字测绘成果质量检查与验收.pdf,,
16,测绘地理信息,检验与测试/成果与产品检验,CH/T 5004-2014,地籍图质量检验技术规程,,测绘行业标准,,,,,,,标准规范/CH2-00 测绘地理信息/检验与测试/成果与产品检验/CHT 5004-2014 地籍图质量检验技术规程.pdf,,
17,测绘地理信息,检验与测试/成果与产品检验,CH/Z 1051-2021,2000国家大地坐标系转换成果质量检查与验收,,测绘指导性技术文件,,,,,,,标准规范/CH2-00 测绘地理信息/检验与测试/成果与产品检验/CHZ 1051-2021 2000国家大地坐标系转换成果质量检查与验收.pdf,,
18,测绘地理信息,管理/项目管理,CH/T 1001-2005,测绘技术总结编写规定,,测绘行业标准,,,,,,,标准规范/CH2-00 测绘地理信息/管理/项目管理/CHT 1001-2005 测绘技术总结编写规定.pdf,,
19,测绘地理信息,管理/项目管理,CH/T 1004-2005,测绘技术设计规定,,测绘行业标准,,,,,,,标准规范/CH2-00 测绘地理信息/管理/项目管理/CHT 1004-2005 测绘技术设计规定.pdf,,
20,地质与矿产资源,基础通用/术语,DZ/T 0484-2024,遥感地质术语,,地质矿产行业标准,,,,,,,标准规范/DZ2-00 地质与矿产资源/基础通用/术语/DZT 0484-2024 遥感地质术语.pdf,,
21,土地资源,基础通用/术语,GB/T 19231-2003,土地基本术语,,国家推荐性标准,,,,,,,标准规范/TD2-00 土地资源/基础通用/术语/GBT 19231-2003 土地基本术语.pdf,,
22,土地资源,土地评价评估,GB/T 18507-2014,城镇土地分等定级规程,,国家推荐性标准,,,,,,,标准规范/TD2-00 土地资源/土地评价评估/GBT 18507-2014 城镇土地分等定级规程.pdf,,
23,土地资源,土地评价评估,GB/T 18508-2014,城镇土地估价规程,,国家推荐性标准,,,,,,,标准规范/TD2-00 土地资源/土地评价评估/GBT 18508-2014 城镇土地估价规程.pdf,,
24,基础通用,其他,GB/T 15834-2011,标点符号用法,,国家推荐性标准,,,,,,,标准规范/TY1-00 基础通用/其他/GBT 15834-2011 标点符号用法.pdf,,
25,自然资源确权登记与权益,自然资源和不动产确权登记/分类代码,GB/T 4761-2008,家庭关系代码,,国家推荐性标准,,,,,,,标准规范/ZC2-00 自然资源确权登记与权益/自然资源和不动产确权登记/分类代码/GBT 4761-2008 家庭关系代码.pdf,,
